Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
The One I Love,2014,R,"Comedy, Drama, Romance, Sci-Fi, Thriller","Mark Duplass, Elisabeth Moss, Ted Danson, Kiana Cason","A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.",English,USA,tt2756032,"$513,447",Duplass Brothers
Underworld,2003,R,"Action, Fantasy, Thriller","Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly","Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",English,"USA, UK, Germany, Hungary",tt0320691,"$51,970,690","Lakeshore Entertainment, Subterranean Productions LLC"
The Death of Mr. Lazarescu,2005,R,"Comedy, Drama","Doru Ana, Monica Barladeanu, Alina Berzunteanu, Dorian Boguta","Mr. Lãzãrescu, a dying old man, is shuttled from hospital to hospital by a loyal paramedic as doctors refuse to operate and no one can agree on a diagnosis.",Romanian,Romania,tt0456149,"$80,301",Mandragora
Madagascar: Escape 2 Africa,2008,PG,"Animation, Adventure, Comedy, Family","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith","The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.","English, Italian",USA,tt0479952,"$180,010,950","PDI, Paramount Pictures International, DreamWorks Animation"
,,,,,,,,,,
What Happened to Monday,2017,TV-MA,"Action, Adventure, Crime, Fantasy, Mystery, Sci-Fi, Thriller","Noomi Rapace, Glenn Close, Willem Dafoe, Marwan Kenzari","In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",English,"UK, France, USA, Belgium",tt1536537,N/A,N/A
The Willoughbys,2020,PG,"Animation, Adventure, Comedy, Family","Will Forte, Maya Rudolph, Alessia Cara, Terry Crews","Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.",English,"Canada, USA, UK",tt5206260,N/A,"Bron Studios, Creative Wealth Media Finance"
The White Helmets,2016,TV-14,"Documentary, Short, War","Khalid Farah, Mohammed Farah, Abu Omar, Raed Saleh","As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.","Arabic, English",UK,tt6073176,N/A,N/A
The Matrix Revolutions,2003,R,"Action, Sci-Fi","Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,"English, French",USA,tt0242653,"$139,313,948",Village Roadshow Prod.
Richard Pryor: Live in Concert,1979,Not Rated,"Documentary, Comedy","Richard Pryor, Patti LaBelle","Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target -- himself.",English,USA,tt0079807,N/A,SEE Theater Network
