Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
The Iron Lady,2011,PG-13,"Biography, Drama","Meryl Streep, Jim Broadbent, Susan Brown, Alice da Cunha","An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.",English,"UK, France",tt1007029,"$30,017,992",Pathé
Son of a Gun,2014,R,"Action, Crime, Drama, Thriller","Brenton Thwaites, Brendan Kerkvliet, Matt Flannagan, Geoff Kelso","JR busts out of prison with Brendan Lynch, Australia's most notorious criminal, and joins Lynch's gang for a gold heist that soon pits the two men against one another.","English, Serbo-Croatian","Australia, UK, Canada",tt2452200,N/A,Southern Light
,,,,,,,,,,
Sweetheart,2019,PG-13,"Adventure, Horror, Mystery, Sci-Fi, Thriller","Kiersey Clemons, Emory Cohen, Hanna Mangan Lawrence, Andrew Crawford","Jenn has washed ashore a small tropical island and it doesn't take her long to realize she's completely alone. She must spend her days not only surviving the elements, but must also fend off the malevolent force that comes out each night.",English,USA,tt6560164,N/A,Blumhouse Productions
Raees,2017,Not Rated,"Action, Crime, Drama","Raj Arjun, Shubham Chintamani, Shubham Tukaram, Yug",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,Hindi,India,tt3405236,"$3,262,954","Excel Entertainment, Red Chillies Entertainment"
The Rover,2014,R,"Action, Crime, Drama, Sci-Fi","Guy Pearce, Chan Kien, Tek Kong Lim, Tawanda Manyimo","10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.","English, Chinese","Australia, USA",tt2345737,"$1,114,423","Porchlight Films, Lava Bear Films"
The Other Side of the Wind,2018,R,Drama,"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg",A Hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture.,"English, German","France, Iran, USA",tt0069049,N/A,Royal Road Entertainment
Let It Fall: Los Angeles 1982-1992,2017,TV-MA,"Documentary, History","Daryl Gates, Tom Bradley, Damian 'Football' Williams, Terry White",An in-depth look at the culture of Los Angeles in the ten years leading up to the 1992 uprising that erupted after the verdict of police officers cleared of beating Rodney King.,English,USA,tt6379314,N/A,N/A
Walking Out,2017,PG-13,"Adventure, Drama, Thriller","Matt Bomer, Josh Wiggins, Bill Pullman, Alex Neustaedter","An urban teenager journeys to Montana to hunt big game with his estranged father. Father and son struggle to connect, until a brutal encounter in the heart of the wilderness changes everything.",English,USA,tt5420886,"$101,947","Harbinger Pictures, Co-Op Entertainment"
After,2019,PG-13,"Drama, Romance","Josephine Langford, Hero Fiennes Tiffin, Khadijha Red Thunder, Dylan Arnold",A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.,English,USA,tt4126476,"$12,138,565","Offspring Entertainment, Voltage Pictures, Diamond Film Productions, Wattpad"
Jersey Boys,2014,R,"Biography, Drama, Music","Vincent Piazza, John Lloyd Young, Steve Schirripa, Christopher Walken",The story of four young men from the wrong side of the tracks in New Jersey who came together to form the iconic 1960s rock group The Four Seasons.,"English, Italian, French",USA,tt1742044,"$47,047,013","GK Films, Malpaso Company"
Nappily Ever After,2018,TV-MA,"Comedy, Drama, Romance","Sanaa Lathan, Ricky Whittle, Lyriq Bent, Lynn Whitfield","Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman.",English,USA,tt0365545,N/A,"Netflix, Marc Platt Productions"
Final Destination 3,2006,R,"Horror, Thriller","Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson","Six years after students cheated death, another teen has a premonition she and her friends will be involved in an accident. When the vision proves true, the student and survivors deal with the repercussions of cheating the Grim Reaper.",English,USA,tt0414982,"$54,098,051","New Line Cinema, Zide-Perry Productions"
,,,,,,,,,,
Elizabeth: The Golden Age,2007,PG-13,"Biography, Drama, History, War","Jordi Mollà, Aimee King, Cate Blanchett, Laurence Fox","A mature Queen Elizabeth endures multiple crises late in her reign including court intrigues, an assassination plot, the Spanish Armada, and romantic disappointments.","English, Spanish, Swedish","UK, France, Germany, USA",tt0414055,"$16,383,509","Studio Canal, Working Title Films"
A Futile and Stupid Gesture,2018,TV-MA,"Biography, Comedy","Frank Gingerich, Morgan Gingerich, Annette O'Toole, Harry Groener","In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubled Douglas Kenney.",English,USA,tt5566790,N/A,"Principato-Young Entertainment, Abominable Pictures"
The Green Hornet,2011,PG-13,"Action, Comedy, Crime","Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson","Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.","English, Mandarin",USA,tt0990407,"$98,780,042",Original Film
Dear John,2010,PG-13,"Drama, Romance, War","Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas",A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,English,USA,tt0989757,"$80,014,842","Temple Hill, Relativity"
Guzaarish,2010,N/A,Drama,"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor",A paralyzed Magician-turned-RJ files a Petition in Court seeking permission to end his life.,"Hindi, English",India,tt1438298,"$1,017,335",N/A
Between Two Ferns: The Movie,2019,TV-MA,Comedy,"Zach Galifianakis, Matthew McConaughey, Rekha Shankar, Olivia Mekdara",Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,English,USA,tt9398640,N/A,Funny or Die
13 Sins,2014,R,"Horror, Thriller","Mark Webber, Devon Graye, Tom Bower, Rutina Wesley","A cryptic phone call sets off a dangerous game of risks for Elliot, a down-on-his-luck salesman. The game promises increasing rewards for completing 13 tasks, each more sinister than the last.",English,USA,tt2059171,"$13,809",Dimension Films
Kiss the Girls,1997,R,"Crime, Drama, Mystery, Thriller","Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur",Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.,"English, Mandarin",USA,tt0119468,"$60,527,873","Paramount Pictures, Rysher Entertainment"
Mr. Roosevelt,2017,R,Comedy,"Noël Wells, Nick Thune, Britt Lower, Daniella Pineda","After a loved one falls ill, 25 year old struggling comedian Emily Martin returns to her college town of Austin, Texas and must come to terms with her past while staying with her ex-boyfriend and his new girlfriend.",English,USA,tt6212496,N/A,"Revelator Productions, Beachside Films"
Battle Los Angeles,2011,PG-13,"Action, Sci-Fi","Aaron Eckhart, Ramon Rodriguez, Will Rothhaar, Cory Hardrict",A squad of U.S. Marines becomes the last line of defense against a global invasion.,"English, Ukrainian",USA,tt1217613,"$83,552,429",Original Film
When We First Met,2018,TV-14,"Comedy, Fantasy, Romance","Adam Devine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor","Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things.","English, Mandarin",USA,tt5783956,N/A,"Wonderland Sound and Vision, Netflix, Footprint Features, MXN Entertainment"
Trailer Park Boys: The Movie,2006,R,"Comedy, Crime","Robb Wells, John Paul Tremblay, Mike Smith, Lucy Decoutere","Ricky, Julian and Bubbles come up with a scheme to steal large amounts of untraceable coins.",English,Canada,tt0425601,"$3,860,678",N/A
Phantom Boy,2015,PG,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi","Edouard Baer, Jean-Pierre Marielle, Audrey Tautou, Jackie Berroyer",A super-powered boy helps a wheelchair-bound policeman in his attempt to bring down a mob kingpin.,French,"France, Belgium",tt1856057,"$34,362",Folimage
,,,,,,,,,,
Transcendence,2014,PG-13,"Action, Drama, Sci-Fi, Thriller","Johnny Depp, Rebecca Hall, Paul Bettany, Cillian Murphy",A scientist's drive for artificial intelligence takes on dangerous implications when his own consciousness is uploaded into one such program.,English,"UK, China, USA",tt2209764,"$23,022,309","Straight Up Films, DMG Entertainment, Alcon Entertainment"
Jagga Jasoos,2017,TV-14,"Action, Adventure, Comedy, Musical, Mystery","Ranbir Kapoor, Katrina Kaif, Saswata Chatterjee, Chitrak Bandyopadhyay","Join Jagga, a gifted teenage detective, who along with a female companion, is on a quest to find his missing father.",Hindi,India,tt4129428,"$861,740","Disney India, Ishana Movies, Picture Shuru Entertainment"
The Perfect Date,2019,TV-14,"Comedy, Romance","Noah Centineo, Laura Marano, Odiseas Georgiadis, Camila Mendes","To save up for college, Brooks Rattigan creates an app where anyone can pay him to play the perfect stand-in boyfriend for any occasion.",English,USA,tt8201170,N/A,Awesomeness Films
A Fortunate Man,2018–,N/A,Drama,"Julie Christiansen, Katrine Greis-Rosenthal, Esben Smed, Peter Hald","The story of Per Sidenius, the ""victim"" of a strict upbringing in rural western Denmark, by his pietistic hard line preacher father in the pre-industrial aera, around the turn of the 20th. ...",Danish,Denmark,tt6748178,,
Let It Snow,2019,PG-13,"Comedy, Romance","Isabela Merced, Shameik Moore, Odeya Rush, Liv Hewson","In a small town on Christmas Eve, a snowstorm brings together a group of young people.",English,USA,tt1950235,N/A,Netflix
Middle School: The Worst Years of My Life,2016,PG,"Animation, Comedy, Family","Griffin Gluck, Lauren Graham, Alexa Nisenson, Andrew Daly","After his principal (Andy Daly) destroys his sketchbook, Rafe (Griffin Gluck) and his best friend Leo (Thomas Barbusca) decide to ""destroy his book"" and break every rule in the school's Code of Conduct.","English, Khmer","USA, Cambodia",tt4981636,"$20,007,149","CBS Films, James Patterson Entertainment"
The Little Hours,2017,R,"Comedy, Romance","Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza","In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation.",English,"USA, Canada",tt5666304,"$1,647,175","Bow and Arrow Entertainment, Destro Films"
Aval,2011–2013,N/A,Drama,"Balaji, Mahalakshmi, Manikandan, Lakshmi Ramakrishnan",The series focuses on the relationship between a mother and her daughter. Jayanthi (Lakshmy Ramakrishnan) arranges for her daughter Amala (Mahalakshmi) to be married to Mahesh (Sanjeev). ...,Tamil,India,tt12403638,,
The Unknown Known,2013,PG-13,"Documentary, Biography, History, War","Donald Rumsfeld, Errol Morris","Former United States Secretary of Defense, Donald Rumsfeld, discusses his career in Washington D.C. from his days as a congressman in the early 1960s to planning the invasion of Iraq in 2003.",English,USA,tt2390962,"$276,497",Moxie Pictures
Kahlil Gibran's The Prophet,2014,PG,"Animation, Drama","Liam Neeson, Salma Hayek, John Krasinski, Frank Langella",Exiled artist and poet Mustafa embarks on a journey home with his housekeeper and her daughter; together the trio must evade the authorities who fear that the truth in Mustafa's words will incite rebellion.,English,"Qatar, France, Lebanon, Canada, USA, Ireland, UK",tt1640718,"$725,489",N/A
The Princess Switch,2018,TV-PG,"Comedy, Drama, Family, Romance","Vanessa Hudgens, Sam Palladio, Nick Sagar, Alexa Adeosun","Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days.",English,USA,tt8954732,N/A,"Netflix, Motion Picture Corporation of America (MPCA)"
The Blackcoat's Daughter,2015,R,"Horror, Mystery, Thriller","Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar",Two girls must battle a mysterious evil force when they get left behind at their boarding school over winter break.,English,Canada,tt3286052,"$20,435","Zed Filmworks, 120dB Films"
Into the Forest,2015,R,"Drama, Thriller","Elliot Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie","After a massive power outage, two sisters learn to survive on their own in their isolated woodland home.",English,Canada,tt2625810,"$9,995","Bron Studios, Rhombus Media"
Stuart Little 2,2002,PG,"Animation, Adventure, Comedy, Family, Fantasy","Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki",Stuart and Snowbell set out across town to rescue a friend.,English,USA,tt0243585,"$64,956,806","Colgems Productions Limited, Columbia Pictures, Franklin/Waterman Prod., Red Wagon Productions"
,,,,,,,,,,
From Paris with Love,2010,R,"Action, Crime, Thriller","John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden","In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.","English, French, Mandarin, German","France, UK, USA",tt1179034,"$24,077,427",EuropaCorp
Pee-wee's Big Holiday,2016,TV-PG,"Comedy, Family","Paul Reubens, Jordan Black, Doug Cox, Linda Porter",A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,"English, Spanish",USA,tt0837156,N/A,N/A
Promised Land,2012,R,Drama,"Matt Damon, Benjamin Sheeler, Terry Kinney, Carla Bianco","A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",English,"USA, United Arab Emirates",tt2091473,"$7,597,898","Sunday Night, Media Farm, Pearl Street"
Seeing Allred,2018,TV-14,Documentary,"Gloria Allred, Lisa Bloom, Bill Cosby, Roy Moore",Women's rights attorney Gloria Allred takes on the biggest names in American culture as coverage of sexual assault allegations in the media become more prevalent.,English,USA,tt7689924,N/A,Netflix
Goldstone,2016,R,"Crime, Thriller","Aaron Pedersen, Alex Russell, Jacki Weaver, David Wenham","Indigenous detective Jay Swan arrives in the town of Goldstone to search for a missing person, and his simple duty becomes complicated when he uncovers a web of crime and corruption.","English, Mandarin",Australia,tt4911996,"$87,639","Bunya Productions, Dark Matter"
The Signal,2014,PG-13,"Drama, Mystery, Sci-Fi, Thriller","Patrick Davidson, Brenton Thwaites, Olivia Cooke, Beau Knapp","On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness - only to find himself in a waking nightmare.",English,USA,tt2910814,"$600,896","Low Spark Films, Automatik"
The Red Sea Diving Resort,2019,TV-MA,"Drama, History, Thriller","Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams, Masasa Mbangeni",Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,"English, Amharic",Canada,tt4995776,N/A,N/A
Self/less,2015,PG-13,"Action, Mystery, Sci-Fi, Thriller","Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley","A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem.",English,USA,tt2140379,"$12,279,691",Ram Bergman
Horse Girl,2020,R,"Drama, Mystery, Thriller","Alison Brie, Molly Shannon, Goldenite, Stella Chestnut","Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",English,USA,tt11388406,N/A,Duplass Brothers Productions
Chris Rock: Tamborine,2018,TV-MA,Comedy,"Chris Rock, Spike Lee","Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics.",English,USA,tt8005338,N/A,N/A
The Monster,2016,R,"Drama, Fantasy, Horror","Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi",A mother and daughter must confront a terrifying monster when they break down on a deserted road.,English,Canada,tt3976144,"$12,544",Atlas Independent
Sergio,2020,R,"Biography, Drama, History, Romance","Wagner Moura, Ana de Armas, Brían F. O'Byrne, Bradley Whitford","A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Sergio Vieira de Mello hangs in the balance during the most treacherous mission of his career.","English, Portuguese, Spanish, French",USA,tt8750570,N/A,"Thai Occidental Productions, Black Rabbit Media, Desert Motion Pictures, Anima Pictures"
In the Shadow of the Moon,2019,TV-MA,"Crime, Mystery, Sci-Fi, Thriller","Boyd Holbrook, Cleopatra Coleman, Bokeem Woodbine, Michael C. Hall",A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,English,"USA, Canada",tt8110640,N/A,"Discovery Films, Film4"
Mirror Mirror,2012,PG,"Adventure, Comedy, Drama, Family, Fantasy","Julia Roberts, Lily Collins, Armie Hammer, Nathan Lane",An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,English,"USA, Canada",tt1667353,"$64,935,167",Relativity
Hasee Toh Phasee,2014,Not Rated,"Comedy, Romance","Sidharth Malhotra, Parineeti Chopra, Adah Sharma, Manoj Joshi","Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.","Hindi, English, Chinese, Spanish",India,tt3173910,"$646,035",N/A
Brooklyn's Finest,2009,R,"Action, Crime, Drama, Thriller","Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes",Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.,English,USA,tt1210042,"$27,163,593",Millennium Films
Wakefield,2016,R,Drama,"Bryan Cranston, Jennifer Garner, Victoria Bruno, Ellery Sprayberry","Bryan Cranston gives the performance of a lifetime as Howard Wakefield, a lawyer on the edge of madness who has decided to disassociate himself from his own life.",English,USA,tt5195412,"$262,599","Mockingbird Pictures, Dominion Pictures Corporation"
Wish I Was Here,2014,R,"Comedy, Drama","Zach Braff, Pierce Gagnon, Kate Hudson, Joey King","A struggling actor, father and husband finds himself at a major crossroads, which forces him to examine his life, his family and his career.",English,USA,tt2870708,"$3,591,299","Double Feature Films, Second Stix Films"
Lu Over the Wall,2017,PG,"Animation, Adventure, Comedy, Family, Fantasy, Music","Kanon Tani, Shôta Shimoda, Minako Kotobuki, Sôma Saitô","The story centers on Kai, a gloomy middle school student whose life changes after meeting Lu, a mermaid.",Japanese,"Japan, USA",tt6452332,"$109,857","Science Saru, Toho Animation"
Man of Tai Chi,2013,R,"Action, Drama","Tiger Hu Chen, Keanu Reeves, Karen Mok, Hai Yu",A young martial artist's unparalleled Tai Chi skills land him in a highly lucrative underworld fight club.,"Cantonese, English, Mandarin","USA, China, Hong Kong",tt2016940,"$100,144",China Film Group Corp.
Comedian,2002,R,"Documentary, Comedy","Jerry Seinfeld, Greg Giraldo, Sherrod Small, Jim Norton","A look at the work of two stand-up comics, Jerry Seinfeld and a lesser-known newcomer, detailing the effort and frustration behind putting together a successful act and career while living a life on the road.",English,USA,tt0328962,"$2,751,988",Bridgnorth Films
The Secret,2006,PG,Documentary,"Bob Proctor, Joe Vitale, John Assaraf, Loral Langemeier","Interviews with self-proclaimed authors, philosophers, scientists, with an in-depth discussion of visualizing your goals. The audience is shown how they can learn and use 'The Secret' in their everyday lives.",English,"Australia, USA",tt0846789,N/A,EuropaCorp
The Kissing Booth,2018,TV-14,"Comedy, Romance","Megan du Plessis, Lincoln Pearson, Caitlyn de Abrue, Jack Fokkens",A high school student is forced to confront her secret crush at a kissing booth.,English,"UK, USA",tt3799232,N/A,Komixx Entertainment
Horns,2013,R,"Comedy, Crime, Drama, Fantasy, Mystery, Thriller","Daniel Radcliffe, Max Minghella, Joe Anderson, Juno Temple","In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his forehead.",English,"USA, Canada",tt1528071,"$173,948",Red Granite Pictures
First Match,2018,TV-MA,"Drama, Sport","Elvire Emanuelle, Yahya Abdul-Mateen II, Colman Domingo, Jharrel Jerome","Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys wrestling team is the only way back to her estranged father.",English,USA,tt6061074,N/A,N/A
The Short Game,2013,PG,"Documentary, Sport","Amari Avery, Jed Dy, Allan Kournikova, Zamokuhle Nxasana",The best 7 year old golfers from around the world descend on the world famous Pinehurst Golf course in North Carolina to determine the next world champion and who might become golf's next ...,"English, French",USA,tt2466830,"$39,819",Samuel Goldwyn Films
Sunday's Illness,2018,PG-13,Drama,"Bárbara Lennie, Susi Sánchez, Greta Fernández, Bruna González","A high-class old lady receives the unexpected visit of her long-time stranded daughter that she had left over thirty years ago, asking a strange request: to spend ten days the two together.","Spanish, French, Italian",Spain,tt6053948,N/A,"Instituto de la Cinematografía y de las Artes Audiovisuales, Televisión Española (TVE), Televisió de Catalunya (TV3) [es]"
Chicken Little,2005,G,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Zach Braff, Garry Marshall, Don Knotts, Patrick Stewart","After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.",English,USA,tt0371606,"$135,386,665",Walt Disney Pictures
Kicking and Screaming,1995,R,"Comedy, Drama, Romance","Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach","A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",English,USA,tt0113537,"$718,490","Trimark Pictures, Sandollar Productions, Castleberg Productions"
Kevin Hart: Let Me Explain,2013,R,"Documentary, Comedy","Kevin Hart, Harry Ratchford, Will 'Spank' Horton, Joey Wells","Filmed at a sold-out performance at Madison Square Garden, comedian Kevin Hart delivers material from his 2012 ""Let Me Explain"" concert tour.",English,USA,tt2609912,"$32,244,051",Code Black Films
Fun with Dick and Jane,2005,PG-13,"Comedy, Crime","Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins","When an affluent couple lose all their money following a series of blunders, they turn to a life of crime to make ends meet.","English, Spanish",USA,tt0369441,"$110,332,737",Columbia Pictures
Seoul Searching,2015,TV-MA,"Comedy, Drama, Music, Romance","Justin Chon, Jessika Van, In-Pyo Cha, Teo Yoo","In 1986, a group of foreign born Korean teenagers attend a summer camp in South Korea.","English, Korean, German","South Korea, China, USA",tt2566644,"$18,654",N/A
The Keeping Hours,2017,PG-13,"Drama, Fantasy, Horror, Mystery, Thriller","Lee Pace, Carrie Coon, Sander Thomas, Ray Baker","10 years after the death of their son, a divorced couple are suddenly reunited by supernatural events that offer them a chance at forgiveness.",English,USA,tt5114154,N/A,Blumhouse Productions
Kickboxer: Retaliation,2018,R,"Action, Drama","Alain Moussi, Sara Malakul Lane, Maxime Savaria, Wanderlei Silva","Right after winning a fight in Las Vegas, Kurt Sloane is sedated and taken to a prison in Bangkok, where he's forced to fight a 6'10"" giant for freedom and $1M - but this will require some intense training.",English,USA,tt5208950,"$4,537","Our House Films, Metrol Technology, Head Gear Films"
Time Share,2018,TV-MA,"Drama, Mystery, Thriller","Luis Gerardo Méndez, Miguel Rodarte, RJ Mitte, Cassandra Ciangherotti","Two haunted family men join forces in a destructive crusade to rescue their families from a tropical paradise, after becoming convinced that an American timeshare conglomerate has a sinister plan to take their loved ones away.","Spanish, English",Mexico,tt6444140,N/A,Circe Films
Johnny English Reborn,2011,PG,"Action, Adventure, Comedy","Roger Barclay, Eric Carte, Rowan Atkinson, Togo Igawa",Johnny English goes up against international assassins hunting down Chinese Premier Xiang Ping.,"English, Mandarin, Swiss German, Cantonese, Russian","UK, France, USA",tt1634122,"$8,305,970",Working Title Films
Dil Dhadakne Do,2015,Not Rated,"Comedy, Drama, Romance","Anil Kapoor, Shefali Shah, Priyanka Chopra, Ranveer Singh",The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.,Hindi,India,tt4110568,"$3,066,100",Excel Entertainment
6 Days,2017,R,"Action, Drama, History, Thriller","Jamie Bell, Mark Strong, Abbie Cornish, Martin Shaw","Based on the Iranian Embassy siege of 1980, this action-thriller dramatizes a six-day standoff between armed Iranian Arabs and SAS soldiers ready for a counterattack.","English, Arabic, Persian","New Zealand, UK",tt4703048,N/A,General Film Corporation
Morris from America,2016,R,"Comedy, Drama, Romance","Markees Christmas, Craig Robinson, Carla Juri, Patrick Güldenberg",The romantic and coming-of-age misadventures of a 13-year-old American living in Germany.,"German, English","Germany, USA",tt3652862,"$91,151",Lichtblick Media
Joshua: Teenager vs. Superpower,2017,TV-14,Documentary,Joshua 'Chi-Fung' Wong,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the ...","English, Cantonese",USA,tt6333072,N/A,June Pictures
Highway,2014,Not Rated,"Crime, Drama, Romance","Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar","Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",Hindi,India,tt2980794,"$529,136",N/A
Sweet Virginia,2017,R,"Action, Drama, Thriller","Jon Bernthal, Christopher Abbott, Imogen Poots, Rosemarie DeWitt",A former rodeo champ befriends a young man with a propensity for violence.,English,Canada,tt2582498,"$11,753",Automatik Entertainment
Chloe,2009,R,"Drama, Mystery, Romance, Thriller","Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot","Suspecting her husband of infidelity, gynecologist Dr. Catherine Stewart hires an escort named Chloe in order to test his faithfulness. Soon, the relationships between all three intensify.",English,"USA, Canada, France",tt1352824,"$3,075,255","StudioCanal, Montecito Picture Company"
Benji,1974,G,"Adventure, Family, Romance","Patsy Garrett, Allen Fiuzat, Cynthia Smith, Peter Breck",A stray dog saves two kidnapped children.,English,USA,tt0071206,"$39,552,000",Mulberry Square Productions
All About Nina,2018,R,"Comedy, Drama, Romance","Mary Elizabeth Winstead, Brodie Reed, Charlotte Newhouse, Jay Mohr",Nina is a stand-up comedian who sees her life turned upside down when she meets Rafe.,English,USA,tt7542576,"$100,335","The Orchard, Diablo Entertainment, Animal Kingdom"
Heartbreakers,2001,PG-13,"Comedy, Crime, Romance","Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee",A mother and daughter con team seduce and scam wealthy men.,"English, Russian",USA,tt0125022,"$40,336,607","Metro Goldwyn Mayer, Davis Entertainment"
Kevin Hart: What Now?,2016,R,"Documentary, Comedy","Kevin Hart, Halle Berry, Don Cheadle, Ed Helms","Comedian Kevin Hart performs in front of a crowd of 53,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",English,USA,tt4669186,"$23,591,043",Universal Pictures
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,TV-MA,"Comedy, Music, Musical, Romance","Michael Bolton, Sarah Shahi, Adam Scott, Matthew Kimbrough","After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.",English,USA,tt6343706,N/A,N/A
All Day and a Night,2020,R,Drama,"Ashton Sanders, Jeffrey Wright, Isaiah John, Kelly Jenrette",A young man who committed a homicide deals with the repercussions of his action.,English,USA,tt3993886,N/A,"Mighty Engine, Color Force"
ARQ,2016,TV-MA,"Action, Sci-Fi, Thriller","Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell","Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.",English,"Canada, USA",tt5640450,N/A,N/A
Nighthawks,1981,R,"Action, Crime, Thriller","Sylvester Stallone, Billy Dee Williams, Lindsay Wagner, Persis Khambatta","When one of Europe's most lethal terrorists shows up in New York, an elite undercover cop is assigned to take him down by any means necessary.","English, German, French, Swedish",USA,tt0082817,"$14,905,359",Universal/Universal Int
Romeo Must Die,2000,R,"Action, Crime, Thriller","Jet Li, Aaliyah, Isaiah Washington, Russell Wong",An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,"English, Chinese",USA,tt0165929,"$55,973,336","Warner Brothers, Silver Pictures"
47 Meters Down,2017,PG-13,"Adventure, Drama, Horror, Thriller","Mandy Moore, Claire Holt, Chris Johnson, Yani Gellman","Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.","English, Spanish",UK,tt2932536,"$44,307,191","Altitude Film Sales, Tea Shop &amp; Film Company, The Fyzz Facility, Dimension Films, Dragon Root"
